#{"t_start": 1786944323.344372, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
15.0,1553,0.948353
330.0,3825,1.449418
75.0,1889,1.738904
135.0,2449,2.05439
270.0,4025,2.563469
215.0,2827,2.926123
125.0,2013,3.186887
150.0,1577,3.391237
110.0,1903,3.64036
155.0,1529,3.849554
260.0,2809,4.212757
230.0,2577,4.543149
155.0,2169,4.825262
45.0,1625,5.04149
105.0,2055,5.310603
240.0,3797,5.798502
105.0,1507,5.994343
185.0,3011,6.382669
155.0,2045,6.648665
105.0,1541,6.849836
40.0,1189,7.004354
55.0,1691,7.224713
105.0,1961,7.479908
105.0,1915,7.729335
180.0,2285,8.027839
60.0,1157,8.177295
290.0,3855,8.672425
15.0,1831,8.913754
210.0,1939,9.169317
80.0,1641,9.385754
105.0,1557,9.590065
55.0,1281,9.75884
210.0,2547,10.131145
260.0,2991,10.550201
120.0,1575,10.755283
95.0,1157,10.905426
140.0,1929,11.156981
45.0,1201,11.31373
175.0,2115,11.587551
115.0,1877,11.830597
75.0,1603,12.043695
65.0,1793,12.276616
120.0,1891,12.520927
150.0,2001,12.778625
50.0,1861,13.020243
150.0,1887,13.26407
235.0,2823,13.630484
40.0,1775,13.861856
260.0,2963,16.096206
120.0,2081,16.367104
55.0,1115,16.525529
180.0,1873,16.768199
110.0,2185,17.05008
330.0,2783,17.412135
280.0,3034,17.800449
45.0,1211,17.959703
50.0,1535,18.164541
115.0,2175,18.448558
80.0,1831,18.686038
20.0,1453,18.911829
125.0,1841,19.15063
65.0,1811,19.387462
80.0,1971,19.644143
65.0,1779,19.88132
330.0,4003,20.392968
90.0,1473,20.586277
150.0,1509,20.781797
155.0,3107,21.188267
355.0,2899,21.565362
105.0,1895,21.812713
305.0,3409,22.248445
215.0,2451,22.611668
85.0,2031,22.881614
85.0,1883,23.135395
140.0,2965,23.5198
110.0,1441,23.708333
60.0,1223,23.867386
140.0,2491,24.190939
80.0,1655,24.411092
180.0,2007,24.671952
155.0,2053,24.938907
20.0,2043,25.206191
45.0,1831,25.444078
85.0,1519,25.642705
120.0,1873,25.885628
155.0,2359,26.224539
50.0,1643,26.443593
155.0,2107,26.716295
95.0,1169,26.870012
210.0,2425,27.180658
285.0,3198,27.593632
30.0,1805,27.829956
150.0,1539,28.030858
515.0,3291,28.46773
90.0,1199,28.626221
55.0,1555,28.832559
250.0,2731,29.189431
215.0,4473,31.848131
105.0,1363,32.027756
80.0,1159,32.178931
270.0,2771,32.538612
25.0,1139,32.690885
150.0,1507,32.887216
240.0,2811,33.249045
210.0,2307,33.54571
45.0,1849,33.785758
85.0,1915,34.03869
35.0,1507,34.237039
60.0,1943,34.491214
150.0,2329,34.797166
180.0,3485,35.270921
135.0,2213,35.595595
120.0,1779,35.826973
195.0,1929,36.08245
30.0,1169,36.235679
20.0,1219,36.402016
185.0,2105,36.736158
100.0,1849,36.981218
105.0,1979,37.238915
215.0,3641,37.705956
135.0,2233,37.996032
120.0,1973,38.251419
55.0,1497,38.44678
155.0,1915,38.694552
80.0,1235,38.860501
80.0,1795,39.093113
60.0,1297,39.262171
180.0,2209,39.548766
65.0,1619,39.76105
315.0,3121,40.163106
335.0,2167,40.446032
155.0,2333,40.748365
130.0,2205,41.039506
180.0,1881,41.282824
125.0,1791,41.515396
